BattlefyName,IGN,Pokepaste
rotomotorz,Roto,"=HYPERLINK(""https://pokepast.es/ad6069d01973b557"")"
austinbramos,Austin,"=HYPERLINK(""https://pokepast.es/b647f3fcbae6b266"")"
CapSpungo,CapSpungo,"=HYPERLINK(""https://pokepast.es/789519cea975b484"")"
andyfig9,Figgy,"=HYPERLINK(""https://pokepast.es/5fe68f234da28925"")"
Goodra526TW,萊恩,"=HYPERLINK(""https://pokepast.es/d75d526a6ef6867d"")"
Exonarf,Exonarf,"=HYPERLINK(""Rillaboom @ Assault Vest   Ability: Grassy Surge   Level: 52   Tera Type: Fire   - Fake Out   - Wood Hammer   - Grassy Glide   - U-turn    Kingambit @ Safety Goggles   Ability: Defiant   Level: 50   Tera Type: Dark   - Kowtow Cleave   - Sucker Punch   - Swords Dance   - Protect    Ursaluna-Bloodmoon @ Life Orb   Ability: Mind's Eye   Level: 50   Tera Type: Normal   - Hyper Voice   - Blood Moon   - Earth Power   - Protect    toro (Tauros-Paldea-Aqua) @ Mirror Herb   Ability: Intimidate   Level: 50   Shiny: Yes   Tera Type: Steel   - Close Combat   - Wave Crash   - Aqua Jet   - Protect    Gengar @ Focus Sash   Ability: Cursed Body   Level: 50   Tera Type: Stellar   - Shadow Ball   - Sludge Bomb   - Haze   - Protect    Electabuzz @ Eviolite   Ability: Vital Spirit   Level: 50   Tera Type: Ghost   - Follow Me   - Electroweb   - Taunt   - Helping Hand"")"
Marlox,Marlox,"=HYPERLINK(""https://pokepast.es/fa748b7ec6a2493e"")"
Ste,Ste,"=HYPERLINK(""https://pokepast.es/22914a921f82790e"")"
paulkoll2001,Paul,"=HYPERLINK(""https://pokepast.es/d784e14cae2c4552"")"
richiereaga,Rixoh,"=HYPERLINK(""https://pokepast.es/6a36c5f63a9b0dea"")"
tengolaarknorita,Arknor,"=HYPERLINK(""https://pokepast.es/61323a1abfbe72ff"")"
KiyoshiroArai,じぇらーる,"=HYPERLINK(""https://pokepast.es/51d143bf90d119f1"")"
SlushiW,Kian,"=HYPERLINK(""https://pokepast.es/5116d3d5c49a7e20"")"
LeunamTG,LeunamTG,"=HYPERLINK(""https://pokepast.es/d7f372019c9b031a"")"
Snowpoint,Snowpoint,"=HYPERLINK(""https://pokepast.es/f8e690850067ae62"")"
asierelhaci,elhaci,"=HYPERLINK(""https://pokepast.es/47a94ad59cf4d280"")"
Jaykub,Jaykub,"=HYPERLINK(""https://pokepast.es/579d0b4fb0a831d1"")"
DubiousBulb1033,Dubious,"=HYPERLINK(""https://pokepast.es/a67c8d38ab7b69f5"")"
arthurcalogero93,Thurmos,"=HYPERLINK(""https://pokepast.es/4eeafb2b1f66f664"")"
mikaelviljanen,maikkeli,"=HYPERLINK(""https://pokepast.es/beffc2ac40d4f631"")"
arxnturtlevgc,ArxnTurtle,"=HYPERLINK(""https://pokepast.es/4ff105fa64765de8"")"
YesterdayWasDramatic,Ester,"=HYPERLINK(""https://pokepast.es/451b4cd73a856b64"")"
Samuel Lorenzo,Sml12,"=HYPERLINK(""https://pokepast.es/1526981c91529a58"")"
SuperPawmi,Superpawmi,"=HYPERLINK(""https://pokepast.es/dd96a27dfdf15613"")"
ICJ236,バイオレット,"=HYPERLINK(""https://pokepast.es/10358af6bbdb86c5"")"
Pokenjoy,Mr.PokEnjoy,"=HYPERLINK(""https://pokepast.es/904c8e93db41ecc0"")"
mulinuuvaiaoga,Hoidium,"=HYPERLINK(""https://pokepast.es/4588e1b65520f69a"")"
VioPhoenixVGC,VioPhoenix,"=HYPERLINK(""https://pokepast.es/b03ee32803977f2b"")"
chiefclarko11,Liam,"=HYPERLINK(""https://pokepast.es/57c1df1d34a24e11"")"
MandoVgc,Mando,"=HYPERLINK(""https://pokepast.es/4c3526b4d1758040"")"
Cage92,Cage,"=HYPERLINK(""https://pokepast.es/c81bc7942d5c9f84"")"
Ann77,Maysu,"=HYPERLINK(""https://pokepast.es/a77ed4888b57e653"")"
arubega,アルベガ,"=HYPERLINK(""https://pokepast.es/95c74dff452e35b3"")"
simonedifelix,Difelix,"=HYPERLINK(""https://pokepast.es/b60681ac909aa09d"")"
シッティン,シット,"=HYPERLINK(""https://pokepast.es/2949720e7aa95a74"")"
IbiVGC,Alice,"=HYPERLINK(""https://pokepast.es/5155961119e4e2bf"")"
mackzac1811,Zac,"=HYPERLINK(""https://pokepast.es/70a52fbea1cc2bed"")"
RafaelQuake,quake,"=HYPERLINK(""https://pokepast.es/135127604df0f0fc"")"
クロ,スカーレット,"=HYPERLINK(""https://pokepast.es/b6239b969c1acde2"")"
agonvictor,Víctor,"=HYPERLINK(""https://pokepast.es/cf1175ffe0255ad8"")"
KoonKy,KoonKy,"=HYPERLINK(""https://pokepast.es/768d026189f24f47"")"
ritanlovereiei,MyStars,"=HYPERLINK(""https://pokepast.es/531d9318a8103357"")"
kaigedipaolo-1,Kaige,"=HYPERLINK(""https://pokepast.es/25185b0776bf62bd"")"
AladYgma,Aladygma,"=HYPERLINK(""https://pokepast.es/1c450a205b66efd3"")"
giuliotarlao,Giulio,"=HYPERLINK(""https://pokepast.es/ff6683fe560c9c0d"")"
FedeCampoVGC,FedeCampoVGC,"=HYPERLINK(""https://pokepast.es/985c6b50732af73f"")"
lucagesualdo723,Luca,"=HYPERLINK(""https://pokepast.es/134c957c289b131e"")"
FaberVGC,Faber,"=HYPERLINK(""https://pokepast.es/69a8309391252fe3"")"
lugonmouling,gataen CH,"=HYPERLINK(""https://pokepast.es/f441990ba2688c18"")"
pparralopez123,Pepe,"=HYPERLINK(""https://pokepast.es/c656c23864be053f"")"
kkyytsukide9,ストレリチア,"=HYPERLINK(""https://pokepast.es/75b108b8249a33e2"")"
jvanrossum93,Toslowbro,"=HYPERLINK(""https://pokepast.es/5d2b289ecda980d6"")"
torviv,Torviv,"=HYPERLINK(""https://pokepast.es/ec12c5e487a8aae2"")"
fran95idn,FAC0VGC,"=HYPERLINK(""https://pokepast.es/19e1a0aeb4e55f17"")"
bbhhbtf,Definition,"=HYPERLINK(""https://pokepast.es/7769ab8b0d7fd7d9"")"
thexich_,TheXich,"=HYPERLINK(""https://pokepast.es/3a397e3c91b0a668"")"
Kyooby,Kyooby,"=HYPERLINK(""https://pokepast.es/fbbb8234753212b9"")"
johannes100100,John♀,"=HYPERLINK(""https://pokepast.es/fa72daa351f68db0"")"
simonvanderborght-1,Shmon,"=HYPERLINK(""https://pokepast.es/ebfd7bd2cc3b4677"")"
quecle,Quentin,"=HYPERLINK(""https://pokepast.es/ed9f68584384a0e4"")"
Sela133VII,Sela,"=HYPERLINK(""https://pokepast.es/00b071f8a5b5945a"")"
Zarkos14,Co$ty,"=HYPERLINK(""https://pokepast.es/6726bec3576f1d25"")"
Ludooo,Ludo,"=HYPERLINK(""https://pokepast.es/fa242584f6b6e9c3"")"
JokerVGC,GeekVGC,"=HYPERLINK(""https://pokepast.es/8e68b44bc40d36f0"")"
Duxlemon00 ,RED,"=HYPERLINK(""https://pokepast.es/2e22e9c897743e45"")"
migueltrzn96,Leon,"=HYPERLINK(""https://pokepast.es/be8460b3b50e6743"")"
fgyt4334,실크,"=HYPERLINK(""https://pokepast.es/3cf31a2c2637379c"")"
PokeTilde,Chris,"=HYPERLINK(""https://pokepast.es/dc43a6a5c6efacba"")"
thafreemason,Roberto,"=HYPERLINK(""https://pokepast.es/8931cbdd065807f8"")"
mariagraslozano24,Mari,"=HYPERLINK(""https://pokepast.es/6203dd7ba5f4be81"")"
Magic_Rana,Magic_Rana,"=HYPERLINK(""https://pokepast.es/2ab56c16e1fe6997"")"
AlbertBMidnight,Midnight,"=HYPERLINK(""https://pokepast.es/782122eac94347e1"")"
paederiaVGC,イザベル,"=HYPERLINK(""https://pokepast.es/6e8ab533db04352f"")"
tuyukusa718,かいばせと,"=HYPERLINK(""https://pokepast.es/af2db8945be831e6"")"
sneakers9808,Ryum,"=HYPERLINK(""https://pokepast.es/f613655e645bab52"")"
arielbashari464,Ariel,"=HYPERLINK(""https://pokepast.es/7a78fe0afb75b579"")"
tyyyttyy702,Evan,"=HYPERLINK(""https://pokepast.es/5f19fa9086b78c91"")"
Ulvida,F,"=HYPERLINK(""https://pokepast.es/9778165e2c6fd631"")"
gfkusumawardana,Ma,"=HYPERLINK(""https://pokepast.es/c7fb29158566d5f2"")"
AgatiVGC,Ash,"=HYPERLINK(""https://pokepast.es/10be6f5b42e9a19d"")"
guauperro735,ANGEL.,"=HYPERLINK(""https://pokepast.es/8984c24d35cb7d72"")"
Hootie,Hootie,"=HYPERLINK(""https://pokepast.es/b47a16a3e5271c46"")"
VTkrrishblaze,Ishan,"=HYPERLINK(""https://pokepast.es/be7f527cf1164a4c"")"
dosei,FTXSBF,"=HYPERLINK(""https://pokepast.es/d2d54f17a08e2f94"")"
YT,ヒフミ,"=HYPERLINK(""https://pokepast.es/3232fb62a3ec21ef"")"
TheBardo,TheBardo,"=HYPERLINK(""https://pokepast.es/5c6a9e56f49b31ec"")"
lukasamon3,luggi,"=HYPERLINK(""https://pokepast.es/ecc82dddc6cdde0f"")"
warhyang1325,월향♪,"=HYPERLINK(""https://pokepast.es/f6cbe43b1577e18f"")"
PresPres,Pres,"=HYPERLINK(""https://pokepast.es/f42097cf257d1a4f"")"
jonago-1,Jonago,"=HYPERLINK(""https://pokepast.es/e6a00371bfbdcd88"")"
jonathanmacheda1998,ilpadrino,"=HYPERLINK(""https://pokepast.es/5d1dc7a650bbbb09"")"
manuhernandez2496,Manu,"=HYPERLINK(""https://pokepast.es/851d2e7302e1990d"")"
32knpoke3710,みつかん。,"=HYPERLINK(""https://pokepast.es/82a0b8f4974274bd"")"
BenjiCumbias,BenjiCumbias,"=HYPERLINK(""https://pokepast.es/ad3f2657c5185328"")"
luca-20-17,Luca,"=HYPERLINK(""https://pokepast.es/af6e73fc601280dc"")"
Dysi2404,Dysi,"=HYPERLINK(""https://pokepast.es/451ad38f96f5c1b4"")"
968,バイオレット,"=HYPERLINK(""https://pokepast.es/325a62b10fc432e2"")"
PasDer,PasDer,"=HYPERLINK(""https://pokepast.es/1149a0ae7d80e952"")"
vikramswami,Vikram,"=HYPERLINK(""https://pokepast.es/cd672822e20cbd97"")"
fuschio29,NikyuAlex,"=HYPERLINK(""https://pokepast.es/e91cc51e5092d13a"")"
미소노 미카,히나,"=HYPERLINK(""https://pokepast.es/025834d2053665f7"")"
Yuary,CRYMAX,"=HYPERLINK(""https://pokepast.es/13bb02e5ebf956d7"")"
hiramidas,Hiarmidas,"=HYPERLINK(""https://pokepast.es/0162dad62f9d982f"")"
meak104,シュン,"=HYPERLINK(""https://pokepast.es/8952a031c49ed8d3"")"
IlSommo,ilsommo359,"=HYPERLINK(""https://pokepast.es/1ca144bff28ebd98"")"
TengenVGC,iMTengen,"=HYPERLINK(""https://pokepast.es/9b97fe6b5353f425"")"
pokepei0921,あくび,"=HYPERLINK(""https://pokepast.es/5c2fdc32321e3d5c"")"
askara,さなみ,"=HYPERLINK(""https://pokepast.es/ff73e4fb421ab9be"")"
